country_a,country_b,weight,effective_date
AD,AE,0,9/21/2025
AD,AF,0,9/21/2025
AD,AL,0,9/21/2025
AD,AM,0,9/21/2025
AD,AO,0,9/21/2025
AD,AR,0,9/21/2025
AD,AT,0,9/21/2025
AD,AU,0,9/21/2025
AD,AZ,0,9/21/2025
AD,BA,0,9/21/2025
AD,BB,0,9/21/2025
AD,BD,0,9/21/2025
AD,BE,0,9/21/2025
AD,BF,0,9/21/2025
AD,BG,0,9/21/2025
AD,BH,0,9/21/2025
AD,BI,0,9/21/2025
AD,BJ,0,9/21/2025
AD,BN,0,9/21/2025
AD,BO,0,9/21/2025
AD,BR,0,9/21/2025
AD,BS,0,9/21/2025
AD,BT,0,9/21/2025
AD,BW,0,9/21/2025
AD,BY,0,9/21/2025
AD,BZ,0,9/21/2025
AD,CA,0,9/21/2025
AD,CF,0,9/21/2025
AD,CG,0,9/21/2025
AD,CH,0,9/21/2025
AD,CI,0,9/21/2025
AD,CL,0,9/21/2025
AD,CM,0,9/21/2025
AD,CN,0,9/21/2025
AD,CO,0,9/21/2025
AD,CR,0,9/21/2025
AD,CU,0,9/21/2025
AD,CV,0,9/21/2025
AD,CY,0,9/21/2025
AD,CZ,0,9/21/2025
AD,DE,0,9/21/2025
AD,DJ,0,9/21/2025
AD,DK,0,9/21/2025
AD,DM,0,9/21/2025
AD,DO,0,9/21/2025
AD,DZ,0,9/21/2025
AD,EC,0,9/21/2025
AD,EE,0,9/21/2025
AD,EG,0,9/21/2025
AD,ER,0,9/21/2025
AD,ES,0,9/21/2025
AD,ET,0,9/21/2025
AD,FI,0,9/21/2025
AD,FJ,0,9/21/2025
AD,FM,0,9/21/2025
AD,FR,0,9/21/2025
AD,GA,0,9/21/2025
AD,GB,0,9/21/2025
AD,GD,0,9/21/2025
AD,GE,0,9/21/2025
AD,GH,0,9/21/2025
AD,GM,0,9/21/2025
AD,GN,0,9/21/2025
AD,GQ,0,9/21/2025
AD,GR,0,9/21/2025
AD,GT,0,9/21/2025
AD,GW,0,9/21/2025
AD,GY,0,9/21/2025
AD,HN,0,9/21/2025
AD,HR,0,9/21/2025
AD,HT,0,9/21/2025
AD,HU,0,9/21/2025
AD,ID,0,9/21/2025
AD,IE,0,9/21/2025
AD,IL,0,9/21/2025
AD,IN,0,9/21/2025
AD,IQ,0,9/21/2025
AD,IR,0,9/21/2025
AD,IS,0,9/21/2025
AD,IT,0,9/21/2025
AD,JM,0,9/21/2025
AD,JO,0,9/21/2025
AD,JP,0,9/21/2025
AD,KE,0,9/21/2025
AD,KG,0,9/21/2025
AD,KH,0,9/21/2025
AD,KI,0,9/21/2025
AD,KM,0,9/21/2025
AD,KN,0,9/21/2025
AD,KP,0,9/21/2025
AD,KR,0,9/21/2025
AD,KW,0,9/21/2025
AD,KZ,0,9/21/2025
AD,LA,0,9/21/2025
AD,LB,0,9/21/2025
AD,LC,0,9/21/2025
AD,LI,0,9/21/2025
AD,LK,0,9/21/2025
AD,LR,0,9/21/2025
AD,LS,0,9/21/2025
AD,LT,0,9/21/2025
AD,LU,0,9/21/2025
AD,LV,0,9/21/2025
AD,LY,0,9/21/2025
AD,MA,0,9/21/2025
AD,MC,0,9/21/2025
AD,MD,0,9/21/2025
AD,ME,0,9/21/2025
AD,MG,0,9/21/2025
AD,MH,0,9/21/2025
AD,MK,0,9/21/2025
AD,ML,0,9/21/2025
AD,MM,0,9/21/2025
AD,MN,0,9/21/2025
AD,MR,0,9/21/2025
AD,MT,0,9/21/2025
AD,MU,0,9/21/2025
AD,MV,0,9/21/2025
AD,MW,0,9/21/2025
AD,MX,0,9/21/2025
AD,MY,0,9/21/2025
AD,MZ,0,9/21/2025
AD,NAN,0,9/21/2025
AD,NE,0,9/21/2025
AD,NG,0,9/21/2025
AD,NI,0,9/21/2025
AD,NL,0,9/21/2025
AD,NO,0,9/21/2025
AD,NP,0,9/21/2025
AD,NR,0,9/21/2025
AD,NZ,0,9/21/2025
AD,OM,0,9/21/2025
AD,PA,0,9/21/2025
AD,PE,0,9/21/2025
AD,PG,0,9/21/2025
AD,PH,0,9/21/2025
