Chapter,Chapter Value,Heading,Heading Value,Subheading,Subheading Value
01,Live animals,01.01,"Live horses, asses, mules and hinnies.",0101.21,Pure-bred breeding animals
01,Live animals,01.01,"Live horses, asses, mules and hinnies.",0101.29,Other
01,Live animals,01.01,"Live horses, asses, mules and hinnies.",0101.30,Asses
01,Live animals,01.01,"Live horses, asses, mules and hinnies.",0101.90,Other
01,Live animals,01.01,"Live horses, asses, mules and hinnies.",,
01,Live animals,01.02,Live bovine animals.,0102.21,Pure-bred breeding animals
01,Live animals,01.02,Live bovine animals.,0102.29,Other
01,Live animals,01.02,Live bovine animals.,0102.31,Pure-bred breeding animals
01,Live animals,01.02,Live bovine animals.,0102.39,Other
01,Live animals,01.02,Live bovine animals.,0102.90,Other
01,Live animals,01.02,Live bovine animals.,,
01,Live animals,01.03,Live swine.,0103.10,Pure-bred breeding animals
01,Live animals,01.03,Live swine.,0103.91,Weighing less than 50 kg
01,Live animals,01.03,Live swine.,0103.92,Weighing 50 kg or more
01,Live animals,01.03,Live swine.,,
01,Live animals,01.04,Live sheep and goats.,0104.10,Sheep
01,Live animals,01.04,Live sheep and goats.,0104.20,Goats
01,Live animals,01.04,Live sheep and goats.,,
01,Live animals,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",0105.11,Fowls of the species Gallus domesticus
01,Live animals,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",0105.12,Turkeys
01,Live animals,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",0105.13,Ducks
01,Live animals,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",0105.14,Geese
01,Live animals,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",0105.15,Guinea fowls
01,Live animals,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",0105.94,Fowls of the species Gallus domesticus
01,Live animals,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",0105.99,Other
01,Live animals,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",,
01,Live animals,01.06,Other live animals.,0106.11,Primates
01,Live animals,01.06,Other live animals.,0106.12,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
01,Live animals,01.06,Other live animals.,0106.13,Camels and other camelids (Camelidae)
01,Live animals,01.06,Other live animals.,0106.14,Rabbits and hares
01,Live animals,01.06,Other live animals.,0106.19,Other
01,Live animals,01.06,Other live animals.,0106.20,Reptiles (including snakes and turtles)
01,Live animals,01.06,Other live animals.,0106.31,Birds of prey
01,Live animals,01.06,Other live animals.,0106.32,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
01,Live animals,01.06,Other live animals.,0106.33,Ostriches; emus (Dromaius novaehollandiae)
01,Live animals,01.06,Other live animals.,0106.39,Other
01,Live animals,01.06,Other live animals.,0106.41,Bees
01,Live animals,01.06,Other live animals.,0106.49,Other
01,Live animals,01.06,Other live animals.,0106.90,Other
01,Live animals,01.06,Other live animals.,,
02,Meat and edible meat offal,02.01,"Meat of bovine animals, fresh or chilled.",0201.10,Carcasses and half-carcasses
02,Meat and edible meat offal,02.01,"Meat of bovine animals, fresh or chilled.",0201.20,Other cuts with bone in
02,Meat and edible meat offal,02.01,"Meat of bovine animals, fresh or chilled.",0201.30,Boneless
02,Meat and edible meat offal,02.01,"Meat of bovine animals, fresh or chilled.",,
02,Meat and edible meat offal,02.02,"Meat of bovine animals, frozen.",0202.10,Carcasses and half-carcasses
02,Meat and edible meat offal,02.02,"Meat of bovine animals, frozen.",0202.20,Other cuts with bone in
