Chapter,Chapter Value,Heading,Heading Value
01,Live animals,01.01,"Live horses, asses, mules and hinnies."
01,Live animals,01.02,Live bovine animals.
01,Live animals,01.03,Live swine.
01,Live animals,01.04,Live sheep and goats.
01,Live animals,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,"
01,Live animals,01.06,Other live animals.
02,Meat and edible meat offal,02.01,"Meat of bovine animals, fresh or chilled."
02,Meat and edible meat offal,02.02,"Meat of bovine animals, frozen."
02,Meat and edible meat offal,02.03,"Meat of swine, fresh, chilled or frozen."
02,Meat and edible meat offal,02.04,"Meat of sheep or goats, fresh, chilled or frozen."
02,Meat and edible meat offal,02.05,
02,Meat and edible meat offal,02.06,"Edible offal of bovine animals, swine, sheep, goats, horses, asses,"
02,Meat and edible meat offal,02.07,"Meat and edible offal, of the poultry of heading 01.05, fresh,"
02,Meat and edible meat offal,02.08,"Other meat and edible meat offal, fresh, chilled or frozen."
02,Meat and edible meat offal,02.09,"Pig fat, free of lean meat, and poultry fat, not rendered or"
02,Meat and edible meat offal,02.10,"Meat and edible meat offal, salted, in brine, dried or smoked;"
03,"Fish and crustaceans, molluscs and other",03.01,Live fish.
03,"Fish and crustaceans, molluscs and other",03.02,"Fish, fresh or chilled, excluding fish fillets and other fish meat of"
03,"Fish and crustaceans, molluscs and other",03.03,"Fish, frozen, excluding fish fillets and other fish meat of heading"
03,"Fish and crustaceans, molluscs and other",03.04,"Fish fillets and other fish meat (whether or not minced), fresh,"
03,"Fish and crustaceans, molluscs and other",03.05,"Fish, dried, salted or in brine; smoked fish, whether or not"
03,"Fish and crustaceans, molluscs and other",03.06,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen,"
03,"Fish and crustaceans, molluscs and other",03.07,"Molluscs, whether in shell or not, live, fresh, chilled, frozen,"
03,"Fish and crustaceans, molluscs and other",03.08,"Aquatic invertebrates other than crustaceans and molluscs, live,"
03,"Fish and crustaceans, molluscs and other",03.09,"Flours, meals and pellets of fish, crustaceans, molluscs and"
04,Dairy produce; birds' eggs; natural honey;,04.01,"Milk and cream, not concentrated nor containing added sugar or"
04,Dairy produce; birds' eggs; natural honey;,04.02,"Milk and cream, concentrated or containing added sugar or"
04,Dairy produce; birds' eggs; natural honey;,04.03,"Yogurt; buttermilk, curdled milk and cream, kephir and other"
04,Dairy produce; birds' eggs; natural honey;,04.04,"Whey, whether or not concentrated or containing added sugar or"
04,Dairy produce; birds' eggs; natural honey;,04.05,Butter and other fats and oils derived from milk; dairy spreads.
04,Dairy produce; birds' eggs; natural honey;,04.06,Cheese and curd.
04,Dairy produce; birds' eggs; natural honey;,04.07,"Birds' eggs, in shell, fresh, preserved or cooked."
04,Dairy produce; birds' eggs; natural honey;,04.08,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by"
04,Dairy produce; birds' eggs; natural honey;,04.09,
04,Dairy produce; birds' eggs; natural honey;,04.10,"Insects and other edible products of animal origin, not"
05,"Products of animal origin,",05.01,
05,"Products of animal origin,",05.02,"Pigs', hogs' or boars' bristles and hair; badger hair and other"
05,"Products of animal origin,",05.04,
05,"Products of animal origin,",05.05,"Skins and other parts of birds, with their feathers or down,"
05,"Products of animal origin,",05.06,"Bones and horn-cores, unworked, defatted, simply prepared (but"
05,"Products of animal origin,",05.07,"Ivory, tortoise-shell, whalebone and whalebone hair, horns,"
05,"Products of animal origin,",05.08,
05,"Products of animal origin,",05.10,
05,"Products of animal origin,",05.11,Animal products not elsewhere specified or included; dead
06,"Live trees and other plants; bulbs, roots and the like;",06.01,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes,"
06,"Live trees and other plants; bulbs, roots and the like;",06.02,"Other live plants (including their roots), cuttings and slips;"
06,"Live trees and other plants; bulbs, roots and the like;",06.03,Cut flowers and flower buds of a kind suitable for bouquets or
06,"Live trees and other plants; bulbs, roots and the like;",06.04,"Foliage, branches and other parts of plants, without flowers or"
07,Edible vegetables and certain roots and tubers,07.01,"Potatoes, fresh or chilled."
07,Edible vegetables and certain roots and tubers,07.02,
07,Edible vegetables and certain roots and tubers,07.03,"Onions, shallots, garlic, leeks and other alliaceous vegetables,"
07,Edible vegetables and certain roots and tubers,07.04,"Cabbages, cauliflowers, kohlrabi, kale and similar edible"
07,Edible vegetables and certain roots and tubers,07.05,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or"
07,Edible vegetables and certain roots and tubers,07.06,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and"
07,Edible vegetables and certain roots and tubers,07.07,
07,Edible vegetables and certain roots and tubers,07.08,"Leguminous vegetables, shelled or unshelled, fresh or chilled."
07,Edible vegetables and certain roots and tubers,07.09,"Other vegetables, fresh or chilled."
07,Edible vegetables and certain roots and tubers,07.10,"Vegetables (uncooked or cooked by steaming or boiling in water),"
07,Edible vegetables and certain roots and tubers,07.11,"Vegetables provisionally preserved, but unsuitable in that state"
07,Edible vegetables and certain roots and tubers,07.12,"Dried vegetables, whole, cut, sliced, broken or in powder, but not"
07,Edible vegetables and certain roots and tubers,07.13,"Dried leguminous vegetables, shelled, whether or not skinned or"
07,Edible vegetables and certain roots and tubers,07.14,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes"
08,Edible fruit and nuts; peel of citrus fruit or melons,08.01,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether"
08,Edible fruit and nuts; peel of citrus fruit or melons,08.02,"Other nuts, fresh or dried, whether or not shelled or peeled."
08,Edible fruit and nuts; peel of citrus fruit or melons,08.03,"Bananas, including plantains, fresh or dried."
08,Edible fruit and nuts; peel of citrus fruit or melons,08.04,"Dates, figs, pineapples, avocados, guavas, mangoes and"
08,Edible fruit and nuts; peel of citrus fruit or melons,08.05,"Citrus fruit, fresh or dried."
08,Edible fruit and nuts; peel of citrus fruit or melons,08.06,"Grapes, fresh or dried."
08,Edible fruit and nuts; peel of citrus fruit or melons,08.07,"Melons (including watermelons) and papaws (papayas), fresh."
08,Edible fruit and nuts; peel of citrus fruit or melons,08.08,"Apples, pears and quinces, fresh."
08,Edible fruit and nuts; peel of citrus fruit or melons,08.09,"Apricots, cherries, peaches (including nectarines), plums and"
08,Edible fruit and nuts; peel of citrus fruit or melons,08.10,"Other fruit, fresh."
08,Edible fruit and nuts; peel of citrus fruit or melons,08.11,"Fruit and nuts, uncooked or cooked by steaming or boiling in"
08,Edible fruit and nuts; peel of citrus fruit or melons,08.12,"Fruit and nuts provisionally preserved, but unsuitable in that"
08,Edible fruit and nuts; peel of citrus fruit or melons,08.13,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures"
08,Edible fruit and nuts; peel of citrus fruit or melons,08.14,
09,"Coffee, tea, maté and spices",09.01,"Coffee, whether or not roasted or decaffeinated; coffee husks and"
09,"Coffee, tea, maté and spices",09.02,"Tea, whether or not flavoured."
09,"Coffee, tea, maté and spices",09.03,
09,"Coffee, tea, maté and spices",09.04,Pepper of the genus Piper; dried or crushed or ground fruits of
09,"Coffee, tea, maté and spices",09.05,Vanilla.
09,"Coffee, tea, maté and spices",09.06,Cinnamon and cinnamon-tree flowers.
09,"Coffee, tea, maté and spices",09.07,"Cloves (whole fruit, cloves and stems)."
09,"Coffee, tea, maté and spices",09.08,"Nutmeg, mace and cardamoms."
09,"Coffee, tea, maté and spices",09.09,"Seeds of anise, badian, fennel, coriander, cumin or caraway;"
09,"Coffee, tea, maté and spices",09.10,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry"
10,Cereals,10.01,Wheat and meslin.
10,Cereals,10.02,Rye.
10,Cereals,10.03,Barley.
10,Cereals,10.04,Oats.
10,Cereals,10.05,Maize (corn).
10,Cereals,10.06,Rice.
10,Cereals,10.07,Grain sorghum.
10,Cereals,10.08,"Buckwheat, millet and canary seeds; other cereals."
11,Products of the milling industry; malt; starches;,11.01,
11,Products of the milling industry; malt; starches;,11.02,Cereal flours other than of wheat or meslin.
11,Products of the milling industry; malt; starches;,11.03,"Cereal groats, meal and pellets."
11,Products of the milling industry; malt; starches;,11.04,"Cereal grains otherwise worked (for example, hulled, rolled,"
11,Products of the milling industry; malt; starches;,11.05,"Flour, meal, powder, flakes, granules and pellets of potatoes."
11,Products of the milling industry; malt; starches;,11.06,"Flour, meal and powder of the dried leguminous vegetables of"
11,Products of the milling industry; malt; starches;,11.07,"Malt, whether or not roasted."
11,Products of the milling industry; malt; starches;,11.08,Starches; inulin.
11,Products of the milling industry; malt; starches;,11.09,
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.01,"Soya beans, whether or not broken."
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.02,"Ground-nuts, not roasted or otherwise cooked, whether or not"
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.03,
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.04,
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.05,"Rape or colza seeds, whether or not broken."
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.06,
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.07,"Other oil seeds and oleaginous fruits, whether or not broken."
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.08,"Flours and meals of oil seeds or oleaginous fruits, other than"
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.09,"Seeds, fruit and spores, of a kind used for sowing."
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.10,"Hop cones, fresh or dried, whether or not ground, powdered or"
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.11,"Plants and parts of plants (including seeds and fruits), of a kind"
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.12,"Locust beans, seaweeds and other algae, sugar beet and sugar"
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.13,
12,"Oil seeds and oleaginous fruits; miscellaneous grains,",12.14,"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover,"
13,"Lac; gums, resins and other vegetable saps and extracts",13.01,"Lac; natural gums, resins, gum-resins and oleoresins (for"
13,"Lac; gums, resins and other vegetable saps and extracts",13.02,"Vegetable saps and extracts; pectic substances, pectinates and"
14,Vegetable plaiting materials; vegetable products,14.01,Vegetable materials of a kind used primarily for plaiting (for
14,Vegetable plaiting materials; vegetable products,14.04,Vegetable products not elsewhere specified or included.
15,"Animal, vegetable or microbial fats and oils",15.01,"Pig fat (including lard) and poultry fat, other than that of"
15,"Animal, vegetable or microbial fats and oils",15.02,"Fats of bovine animals, sheep or goats, other than those of"
15,"Animal, vegetable or microbial fats and oils",15.03,
15,"Animal, vegetable or microbial fats and oils",15.04,"Fats and oils and their fractions, of fish or marine mammals,"
15,"Animal, vegetable or microbial fats and oils",15.05,
15,"Animal, vegetable or microbial fats and oils",15.06,
15,"Animal, vegetable or microbial fats and oils",15.07,"Soya-bean oil and its fractions, whether or not refined, but not"
15,"Animal, vegetable or microbial fats and oils",15.08,"Ground-nut oil and its fractions, whether or not refined, but not"
15,"Animal, vegetable or microbial fats and oils",15.09,"Olive oil and its fractions, whether or not refined, but not"
15,"Animal, vegetable or microbial fats and oils",15.10,"Other oils and their fractions, obtained solely from olives,"
15,"Animal, vegetable or microbial fats and oils",15.11,"Palm oil and its fractions, whether or not refined, but not"
15,"Animal, vegetable or microbial fats and oils",15.12,"Sunflower-seed, safflower or cotton-seed oil and fractions"
15,"Animal, vegetable or microbial fats and oils",15.13,"Coconut (copra), palm kernel or babassu oil and fractions"
15,"Animal, vegetable or microbial fats and oils",15.14,"Rape, colza or mustard oil and fractions thereof, whether or not"
15,"Animal, vegetable or microbial fats and oils",15.15,Other fixed vegetable or microbial fats and oils (including
15,"Animal, vegetable or microbial fats and oils",15.16,"Animal, vegetable or microbial fats and oils and their fractions,"
15,"Animal, vegetable or microbial fats and oils",15.17,"Margarine; edible mixtures or preparations of animal,"
15,"Animal, vegetable or microbial fats and oils",15.18,
15,"Animal, vegetable or microbial fats and oils",15.20,
15,"Animal, vegetable or microbial fats and oils",15.21,"Vegetable waxes (other than triglycerides), beeswax, other insect"
15,"Animal, vegetable or microbial fats and oils",15.22,
16,"Preparations of meat, of fish, of crustaceans,",16.01,
16,"Preparations of meat, of fish, of crustaceans,",16.02,"Other prepared or preserved meat, meat offal, blood or insects."
16,"Preparations of meat, of fish, of crustaceans,",16.03,
16,"Preparations of meat, of fish, of crustaceans,",16.04,Prepared or preserved fish; caviar and caviar substitutes
16,"Preparations of meat, of fish, of crustaceans,",16.05,"Crustaceans, molluscs and other aquatic invertebrates, prepared"
17,Sugars and sugar confectionery,17.01,"Cane or beet sugar and chemically pure sucrose, in solid form."
17,Sugars and sugar confectionery,17.02,"Other sugars, including chemically pure lactose, maltose, glucose"
17,Sugars and sugar confectionery,17.03,Molasses resulting from the extraction or refining of sugar.
17,Sugars and sugar confectionery,17.04,"Sugar confectionery (including white chocolate), not containing"
18,Cocoa and cocoa preparations,18.01,
18,Cocoa and cocoa preparations,18.02,
18,Cocoa and cocoa preparations,18.03,"Cocoa paste, whether or not defatted."
18,Cocoa and cocoa preparations,18.04,
18,Cocoa and cocoa preparations,18.05,
18,Cocoa and cocoa preparations,18.06,Chocolate and other food preparations containing cocoa.
19,"Preparations of cereals, flour, starch or milk;",19.01,"Malt extract; food preparations of flour, groats, meal, starch or"
19,"Preparations of cereals, flour, starch or milk;",19.02,"Pasta, whether or not cooked or stuffed (with meat or other"
19,"Preparations of cereals, flour, starch or milk;",19.03,
19,"Preparations of cereals, flour, starch or milk;",19.04,Prepared foods obtained by the swelling or roasting of cereals or
19,"Preparations of cereals, flour, starch or milk;",19.05,"Bread, pastry, cakes, biscuits and other bakers' wares, whether"
20,"Preparations of vegetables, fruit, nuts or other parts of plants",20.01,"Vegetables, fruit, nuts and other edible parts of plants, prepared"
20,"Preparations of vegetables, fruit, nuts or other parts of plants",20.02,Tomatoes prepared or preserved otherwise than by vinegar or
20,"Preparations of vegetables, fruit, nuts or other parts of plants",20.03,"Mushrooms and truffles, prepared or preserved otherwise than"
20,"Preparations of vegetables, fruit, nuts or other parts of plants",20.04,Other vegetables prepared or preserved otherwise than by
